0 -0.699441 [6:1,11-22:[-0.731854,0.173431,0,0.00027,0.011684,-0.011052,0.024452,0.008337,0.001324,0.025544,-0.040728,-0.00081]]
0 -0.699441 [6:1,11-22:[-0.733319,0.173187,0.006145,0.01964,0.01521,-0.007576,0.021809,-0.0356,-0.020209,0.02076,-0.017162,-0.009357]]
0 -0.699441 [6:1,11-22:[-0.735104,0.173553,0.003162,0.009431,-0.000589,-0.000218,0.003277,-0.027465,0.007015,0.020105,-0.028115,0.001819]]
0 -0.699441 [6:1,11-22:[-0.736271,0.173553,0.0064,0.012831,0.005544,-0.029716,0.016083,-0.03365,-0.006526,0.016916,-0.009219,-0.008668]]
0 0.699441 [6:1,11-22:[-0.729655,0.170441,0.008695,0.004944,0.001756,-0.029643,0.005109,-0.08196,-0.039438,0.007796,0.003057,0.010742]]
0 0.699441 [6:1,11-22:[-0.731836,0.17279,-0.002208,0.015567,0.016634,-0.024647,0.011058,-0.081554,-0.028025,0.021291,-0.014738,-0.018688]]
0 0.699441 [6:1,11-22:[-0.724754,0.16861,0.006177,0.010144,0.022285,-0.031408,0.010274,-0.078889,-0.022107,0.013564,-0.024996,-0.025665]]
0 0.699441 [6:1,11-22:[-0.741847,0.173309,0.009264,0.007375,0.006481,-0.089847,-0.012899,-0.069662,-0.005932,0.019937,-0.079958,0.003953]]
0 -0.699441 [6:1,11-22:[-0.723268,0.169525,0.009338,0.013822,0.01326,-0.016072,0.0154,-0.020973,0.009865,0.027795,-0.023867,0.003622]]
0 0.699441 [6:1,11-22:[-0.737263,0.173035,0.004924,-0.078911,-0.003339,-0.016995,0.023863,-0.078773,-0.021689,0.039226,-0.006339,0.02987]]
0 -0.699441 [6:1,11-22:[-0.398689,0.167053,0.030443,0.038053,0.017968,0.004308,-0.074579,-0.049551,-0.062922,0.036913,0.086392,-0.015029]]
0 0.699441 [6:1,11-22:[-0.34999,0.143829,0.00405,0.031571,0.014865,0.000407,-0.116969,-0.079024,0.003272,0.044446,0.008396,-0.095685]]
0 -0.699441 [6:1,11-22:[-0.337725,0.142395,-0.016885,-0.071717,-0.000809,0.034113,0.017202,-0.045522,-0.095374,0.000191,0.048672,-0.009178]]
0 0.699441 [6:1,11-22:[-0.346188,0.145538,-0.032717,-0.074092,-0.016834,0.036907,-0.002969,-0.070553,-0.028953,0.007365,0.008374,-0.013887]]
0 -0.699441 [6:1,11-22:[-0.414672,0.146576,-0.116488,0.004391,0.023737,-0.004535,-0.082349,-0.025169,0.012159,0.017825,0.024309,-0.002319]]
0 0.699441 [6:1,11-22:[-0.358364,0.151001,-0.004134,0.015909,0.009843,0.03133,0.006381,-0.069677,-0.027086,0.031278,0.054056,-0.016057]]
0 0.699441 [6:1,11-22:[-0.346536,0.147491,0.011453,0.030189,0.007806,0.025059,-0.012212,-0.075301,-0.036301,-0.071716,0.046699,0.008606]]
0 0.699441 [6:1,11-22:[-0.35376,0.145783,-0.006521,-0.013503,-0.074656,0.025427,-0.000132,-0.069717,-0.029726,0.020833,0.030801,-0.009462]]
0 0.699441 [6:1,11-22:[-0.348811,0.140961,-0.002983,0.010379,-0.017559,0.016654,-0.022182,-0.071559,-0.047126,0.018534,0.000689,-0.081132]]
0 -0.699441 [6:1,11-22:[-0.370726,0.142914,-0.025338,-0.005894,-0.018367,-0.008694,-0.007698,-0.067786,-0.105262,-0.016825,0.023586,-0.031338]]
0 -0.699441 [6:1,11-22:[-0.39957,0.145264,-0.016438,-0.008783,-0.005362,0.02104,-0.003417,-0.034727,-0.021594,0.000452,0.00984,-0.019249]]
0 -0.699441 [6:1,11-22:[-0.370949,0.153595,0.01358,0.02504,0.014272,0.041935,0.02224,-0.019196,0.014446,0.048848,0.057455,-0.009284]]
0 -0.699441 [6:1,11-22:[-0.368975,0.152832,0.031493,0.047675,0.016901,0.008598,-0.063593,-0.044534,-0.068851,0.026033,0.087445,-0.004153]]
0 0.699441 [6:1,11-22:[-0.353629,0.146973,0.018564,0.023303,-0.023012,-0.080102,-0.006932,-0.089808,-0.132131,-0.091874,0.019162,-0.056185]]
0 0.699441 [6:1,11-22:[-0.371826,0.148773,0.004903,0.025329,0.018261,0.038365,-0.010829,-0.083532,-0.044481,-0.07274,0.036111,0.008765]]
0 -0.699441 [6:1,11-22:[-0.375604,0.148926,0.014727,0.030443,0.006933,0.007886,-0.064869,-0.041115,-0.068665,0.027695,0.057219,0.004905]]
0 -0.699441 [6:1,11-22:[-0.356957,0.137054,-0.045608,0.022592,-0.005959,-0.031332,-0.114741,-0.077632,-0.032224,0.001141,0.031276,-0.057305]]
0 0.699441 [6:1,11-22:[-0.36504,0.147491,-0.027312,-0.063301,-0.027418,-0.065984,-0.010948,-0.051655,-0.030716,0.030113,0.058727,-0.006519]]
0 -0.699441 [6:1,11-22:[-0.348865,0.143707,0.024389,0.029606,-0.034572,-0.087499,0.025302,-0.001332,-0.028627,0.029778,0.038635,-0.030261]]
0 0.699441 [6:1,11-22:[-0.340824,0.143707,0.003511,0.021177,-0.004383,0.019537,-0.011891,-0.066657,-0.021563,0.018102,0.050867,-0.010974]]
0 -0.699441 [6:1,11-22:[-0.341218,0.144745,0.007313,0.039136,0.006919,0.024817,0.026664,-0.047201,-0.08109,0.020654,0.047372,-0.001147]]
0 0.699441 [6:1,11-22:[-0.368701,0.136932,-0.034927,-0.010516,-0.045218,-0.093602,-0.037969,-0.078693,-0.048243,0.009673,0.007074,-0.026003]]
0 0.699441 [6:1,11-22:[-0.36885,0.150208,-0.084305,0.00319,0.022724,0.041047,-0.007311,-0.068318,-0.02825,0.028523,0.050758,0.002965]]
0 0.699441 [6:1,11-22:[-0.366851,0.15036,0.007962,0.031517,-0.01672,-0.079502,-0.004914,-0.088944,-0.115771,0.021006,0.063947,-0.006125]]
0 0.699441 [6:1,11-22:[-0.366575,0.149292,0.006753,-0.003953,-0.083958,0.023022,0.013982,-0.102337,-0.131931,-0.084851,0.058777,0.018672]]
0 0.699441 [6:1,11-22:[-0.366474,0.149963,0.015606,0.029404,-0.015442,-0.087293,-0.007319,-0.050964,-0.006705,0.047216,0.050653,-0.046572]]
0 0.699441 [6:1,11-22:[-0.346829,0.141876,-0.008208,0.022178,-0.015339,-0.07682,-0.01219,-0.053689,-0.024527,0.027823,0.059908,-0.014378]]
0 0.699441 [6:1,11-22:[-0.345988,0.143036,-0.066037,0.018396,0.004277,0.010979,-0.001207,-0.067523,-0.039001,-0.076189,0.042434,0.011216]]
0 0.699441 [6:1,11-22:[-0.377513,0.142792,-0.012914,0.004617,-0.023095,-0.002059,-0.035921,-0.080363,-0.044848,0.004299,-0.02004,-0.098209]]
0 0.699441 [6:1,11-22:[-0.40873,0.148132,-0.012295,0.003074,-0.032417,-0.090242,-0.028419,-0.08569,-0.03907,0.030336,0.028225,-0.018388]]
0 -0.699441 [6:1,11-22:[-0.335992,0.143829,-0.052007,0.004075,0.022424,0.031971,0.027456,-0.043967,-0.085235,0.015522,0.067784,-0.016043]]
